"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.echipadetocilari.ro/wp-includes/js/dist/vendor/react-dom.min.js?ver=18.3.1.1","application/javascript","200","OK","Indexable","","","88","","https://www.echipadetocilari.ro/wp-includes/js/dist/vendor/react-dom.min.js?ver=18.3.1.1"
"https://www.echipadetocilari.ro/portofoliu/","text/html; charset=UTF-8","200","OK","Indexable","","369d2362dd3a76fdd5ceeb25f3c290ad","43","https://www.echipadetocilari.ro/portofoliu/","https://www.echipadetocilari.ro/portofoliu/"
"https://www.echipadetocilari.ro/wp-content/plugins/astra-pro-sites/inc/lib/onboarding/assets/dist/template-preview/main.js?ver=aabd2ae4238bd052108b","application/javascript","200","OK","Indexable","","","147","","https://www.echipadetocilari.ro/wp-content/plugins/astra-pro-sites/inc/lib/onboarding/assets/dist/template-preview/main.js?ver=aabd2ae4238bd052108b"
"https://www.echipadetocilari.ro/wp-content/plugins/elementor/assets/lib/swiper/v8/swiper.min.js?ver=8.4.5","application/javascript","200","OK","Indexable","","","105","","https://www.echipadetocilari.ro/wp-content/plugins/elementor/assets/lib/swiper/v8/swiper.min.js?ver=8.4.5"
"https://www.echipadetocilari.ro/administrare-site/","text/html; charset=UTF-8","200","OK","Indexable","","f979c396904005de3209c45bdc614824","50","https://www.echipadetocilari.ro/administrare-site/","https://www.echipadetocilari.ro/administrare-site/"
"https://www.echipadetocilari.ro/wp-content/uploads/elementor/google-fonts/css/varelaround.css?ver=1743230253","text/css","200","OK","Indexable","","","108","","https://www.echipadetocilari.ro/wp-content/uploads/elementor/google-fonts/css/varelaround.css?ver=1743230253"
"https://www.echipadetocilari.ro/wp-content/uploads/elementor/css/post-3381.css?ver=1785969245","text/css","200","OK","Indexable","","","93","","https://www.echipadetocilari.ro/wp-content/uploads/elementor/css/post-3381.css?ver=1785969245"
"https://www.echipadetocilari.ro/wp-content/plugins/elementor-pro/assets/css/widget-carousel-module-base.min.css?ver=3.29.0","text/css","200","OK","Indexable","","","122","","https://www.echipadetocilari.ro/wp-content/plugins/elementor-pro/assets/css/widget-carousel-module-base.min.css?ver=3.29.0"
"https://www.echipadetocilari.ro/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=4.1.4","text/css","200","OK","Indexable","","","106","","https://www.echipadetocilari.ro/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=4.1.4"
"https://www.echipadetocilari.ro/contact/","text/html; charset=UTF-8","200","OK","Indexable","","886e546766e13434b23d6bd4f99b291d","40","https://www.echipadetocilari.ro/contact/","https://www.echipadetocilari.ro/contact/"
